Reference	Value	Footprint	Qty	DNP
C1	330u/10/16V	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	1	
C2,C4	4.7u/10/16V	Capacitor_THT:CP_Radial_D5.0mm_P2.50mm	2	
C3	22n	Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02	1	
C5	47u/16V	Capacitor_THT:CP_Radial_D5.0mm_P2.50mm	1	
C6,C8,C10,C11	0.1u	Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder	4	
C7	47u/10/16	Capacitor_THT:CP_Radial_D5.0mm_P2.50mm	1	
C9	100u/40V	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	1	
D1	1N4007	Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal	1	
D2,D6	1N4148	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	2	
D3	12V	Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal	1	
D4,D5	LED_Small	LED_THT:LED_D5.0mm	2	
J1,J3	Conn_01x02	Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical	2	
J2	Conn_01x03	Connector:FanPinHeader_1x03_P2.54mm_Vertical	1	
J4	Conn_01x04_Pin	Connector_JST:JST_NV_B04P-NV_1x04_P5.00mm_Vertical	1	
K1,K2	Relay_SPST-NO	Relay:Relay_Hongfa_HF3FF	2	
Q1,Q4	BC858	Package_TO_SOT_SMD:SOT-23	2	
Q2,Q3	BC847	Package_TO_SOT_SMD:SOT-23	2	
Q5	BC337	Package_TO_SOT_THT:TO-92_Inline	1	
R1,R2,R3	56k	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	3	
R4	9k1	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	1	
R5,R19,R21,R23,R24,R25	47k	-- mixed values --	6	
R6	12k	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal	1	
R7,R11,R14,R15	4k7	-- mixed values --	4	
R8	2k7	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R9	3k9	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R10	1k	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R12	3k	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R13	200	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R16,RV1	2k	-- mixed values --	2	
R17	27k	Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal	1	
R18	6k8	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R20	10k	Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	
R22	56	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	1	
U1	UP1237	Package_SIP:SIP-8_19x3mm_P2.54mm	1	
U2	TL431LP	Package_TO_SOT_THT:TO-92_Inline	1	
