Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_1210_3225Metric",-181.100000,-93.700000,180.000000,bottom
"C5","1u","C_1206_3216Metric",-179.300000,-109.800000,0.000000,bottom
"C9","1n","C_0805_2012Metric",-160.600000,-101.200000,-90.000000,bottom
"C10","470p","C_0805_2012Metric",-166.000000,-105.500000,180.000000,bottom
"C11","100n","C_0805_2012Metric",-158.500000,-101.200000,-90.000000,bottom
"C14","6.8n","C_0805_2012Metric",-171.200000,-96.400000,0.000000,bottom
"C15","1n","C_0805_2012Metric",-167.700000,-86.500000,90.000000,bottom
"R1","20","R_1206_3216Metric",-182.900000,-90.300000,-90.000000,bottom
"R2","1.5M","R_1210_3225Metric",-134.950000,-102.350000,180.000000,bottom
"R3","1.5M","R_1210_3225Metric",-127.050000,-102.350000,180.000000,bottom
"R4","100k","R_1210_3225Metric",-147.900000,-113.400000,0.000000,bottom
"R6","100","R_0805_2012Metric",-161.500000,-105.300000,180.000000,bottom
"R8","20","R_0805_2012Metric",-160.200000,-95.300000,90.000000,bottom
"R9","100","R_0805_2012Metric",-154.100000,-85.237500,-90.000000,bottom
"R10","348 / 1%","R_0805_2012Metric",-171.000000,-100.400000,180.000000,bottom
"R12","120k","R_1206_3216Metric",-173.900000,-99.250000,-90.000000,bottom
"R13","5.6k","R_0805_2012Metric",-163.050000,-96.750000,90.000000,bottom
"R14","4.7k","R_0805_2012Metric",-168.800000,-93.600000,180.000000,bottom
"R15","1k","R_0805_2012Metric",-168.400000,-96.500000,90.000000,bottom
"R16","30k","R_0805_2012Metric",-172.800000,-94.400000,0.000000,bottom
"U1","FAN6602R","SOT-23-6_Handsoldering",-164.650000,-102.600000,0.000000,bottom
"","","",176.700000,-91.300000,0.000000,top
"C2","0.33u","C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3",138.300000,-106.350000,180.000000,top
"C3","1n","C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal",152.800000,-116.550000,180.000000,top
"C4","470u / 16V","CP_Radial_D8.0mm_P3.50mm",180.900000,-111.950000,180.000000,top
"C6","82u","CP_Radial_D13.0mm_P7.50mm",148.115216,-90.000000,180.000000,top
"C7","1000u / 16V","CP_Radial_D10.0mm_P3.50mm",181.500000,-96.900000,180.000000,top
"C8","2.2n","C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal",170.950000,-116.350000,180.000000,top
"C12","4.7u","CP_Radial_D5.0mm_P2.50mm",161.800000,-90.605113,90.000000,top
"C13","22u","CP_Radial_D5.0mm_P2.50mm",155.744888,-116.350000,0.000000,top
"D1","GBU4M","Diode_Bridge_Vishay_GBL",124.575000,-85.825000,0.000000,top
"D2","20S100CT","TO-220-3_Vertical",176.960000,-86.695000,0.000000,top
"D3","1N4007","D_DO-41_SOD81_P15mm_Horizontal",152.850000,-113.325000,90.000000,top
"D4","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",143.100000,-98.850000,-90.000000,top
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",159.210000,-91.150000,180.000000,top
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",148.000000,-99.890000,-90.000000,top
"F1","2A","R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical",126.800000,-117.200000,180.000000,top
"FL1","Filter_EMI_LL","Fitr_EMI_FA-N12W1051-REG-1",129.250000,-95.650000,180.000000,top
"FL2","Filter_EMI_LL_1423","Filtr_EMI_toroid",184.305000,-102.900000,180.000000,top
"Q1","STD7NM60N,IPA60R750E6XKSA1","TO-220F-3_Vertical",146.510000,-86.295000,0.000000,top
"R5","0","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",145.700000,-107.500000,90.000000,top
"R7","0.43 / 1W","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",156.950000,-87.270000,90.000000,top
"RV1","471","RV_Disc_D12mm_W3.9mm_P7.5mm",133.350000,-113.300000,180.000000,top
"T1","Transf_FT1201500SC","Transf_FT1201500SC",162.800000,-102.850000,90.000000,top
"TH1","100k","C_Disc_D3.4mm_W2.1mm_P2.50mm",162.650000,-85.650000,180.000000,top
"TP1","TestPoint_Small","Pin_D1.3mm_L11.0mm",136.600000,-117.200000,0.000000,top
"TP2","TestPoint_Small","Pin_D1.3mm_L11.0mm",130.200000,-117.200000,0.000000,top
"TP3","TestPoint_Small","Pin_D1.3mm_L11.0mm",182.150000,-117.500000,0.000000,top
"TP4","TestPoint_Small","Pin_D1.3mm_L11.0mm",175.950000,-117.500000,0.000000,top
"U2","PC817","DIP-4_W7.62mm",172.800000,-87.775000,180.000000,top
"U3","TL431LP","TO-92_Inline",173.400000,-91.250000,180.000000,top
